iso3,year,kp,is_national,population_proportion
SWZ,2016,FSW,0,0.024096549404701625
SWZ,2015,MSM,1,0.021461732225355714
SWZ,2015,MSM,0,0.013790105883027943
SWZ,2015,MSM,0,0.095674770277643
SWZ,2015,MSM,0,0.06951760759884677
SWZ,2015,MSM,0,0.007859311369262267
SWZ,2015,MSM,0,0.010046039686582672
SWZ,2015,MSM,0,0.017534172079473213
SWZ,2016,MSM,0,0.017647758115680614
TGO,2014,FSW,1,0.005968314287814679
TGO,2014,FSW,0,0.007815468776377385
TGO,2014,FSW,0,0.011427492322121365
TGO,2014,FSW,0,0.0034155846127490253
ZWE,2016,FSW,1,0.012356108727964957
ZWE,2017,FSW,0,0.024302530242670508
ZWE,2017,FSW,0,0.041185351346918114
ZWE,2017,FSW,0,0.02834233943730921
ZWE,2017,FSW,0,0.021173144961930217
ZWE,2017,FSW,0,0.00894806821421377
ZWE,2019,MSM,0,0.03279428066714771
ZWE,2019,MSM,0,0.029980011875954456
ZWE,2019,MSM,0,0.043364560241629393
AGO,2015,FSW,0,0.015515455108545649
AGO,2015,FSW,0,0.040515953771283725
AGO,2015,FSW,0,0.01248933148786942
AGO,2016,FSW,0,0.05378071299272834
AGO,2016,FSW,0,0.053828554731280155
AGO,2011,MSM,0,0.020412866411760332
AGO,2016,MSM,0,0.03754739435328573
ETH,2002,FSW,0,0.014133754823169975
ETH,2002,FSW,0,0.010834809317823891
ETH,2012,FSW,0,0.010208362643691373
ETH,2013,FSW,0,0.008865268988830631
ETH,2013,FSW,0,0.010794394593043079
ETH,2013,FSW,0,0.003975377390581727
ETH,2013,FSW,0,0.0061711215667725455
ETH,2013,FSW,0,0.009780004938502122
ETH,2013,FSW,0,0.005593348631144275
ETH,2013,FSW,0,0.012177409784518999
ETH,2013,FSW,0,0.0029105989926049352
ETH,2013,FSW,0,0.03172024827874447
ETH,2013,FSW,0,0.028239932551249184
ETH,2013,FSW,0,0.003975377390581727
ETH,2013,FSW,0,0.005750717153897376
ETH,2013,FSW,0,0.0029105989926049352
ETH,2013,FSW,0,0.0416745186019983
ETH,2013,FSW,0,0.0061711215667725455
ETH,2013,FSW,0,0.0011499581808025697
ETH,2013,FSW,0,0.0010038639202647882
ETH,2013,FSW,0,2.351015317636616e-4
ETH,2013,FSW,0,2.199879797832865e-4
ETH,2020,FSW,1,0.007364996458488846
ETH,2015,PWID,0,0.00031417005072266073
ETH,2020,PWID,1,1.9215191824124538e-4
GHA,2003,FSW,0,0.011544914475481177
GHA,2006,FSW,1,0.00940357785578731
GHA,2011,FSW,1,0.008190150567007237
GHA,2011,FSW,0,0.004791763405650233
GHA,2011,FSW,0,0.006044134488757682
GHA,2011,FSW,0,0.016406105135136895
GHA,2011,FSW,0,0.003982731046610937
GHA,2011,FSW,0,0.021989347102245264
GHA,2011,FSW,0,0.003952393218787235
GHA,2011,FSW,0,0.0028756274587344545
GHA,2011,FSW,0,0.021989347102245264
GHA,2011,FSW,0,0.00485146652729682
GHA,2011,FSW,0,0.0014938534747987332
GHA,2011,MSM,0,0.0018242009005215078
GHA,2011,MSM,0,0.005440018881047685
GHA,2011,MSM,0,0.3294119419489361
GHA,2011,MSM,0,0.0425522474434596
GHA,2012,MSM,1,0.004567340719429615
GHA,2017,MSM,1,0.007286993284761904
GHA,2017,MSM,0,0.015395604895098945
GHA,2017,MSM,0,0.006550286530592384
GHA,2017,MSM,0,0.005315605030388514
GHA,2017,MSM,0,0.009530391467540497
GHA,2017,MSM,0,0.014730397818049013
GHA,2017,MSM,0,0.007351992313113444
GHA,2017,MSM,0,0.011425472984909868
GHA,2013,PWID,0,0.0013427716681938917
