"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"139","CIV",2018,"MSM",0.0283386363225449,39,-3.5347812378455
"140","CIV",2018,"MSM",0.00651242891501332,39,-5.02750905982329
"141","CIV",2018,"MSM",0.0191751578514592,39,-3.93477831394751
"142","CIV",2018,"MSM",0.0359316104571509,39,-3.28954481340751
"143","CIV",2018,"MSM",0.00871013353739318,39,-4.73451986826357
"144","CIV",2018,"MSM",0.0224439374168412,39,-3.77403511377009
"145","CIV",2018,"MSM",0.0326286931854127,39,-3.38939033952264
"146","CIV",2018,"MSM",0.00997506182075378,39,-4.59764197256539
"147","CIV",2018,"MSM",0.0128889432429991,39,-4.33841272172378
"148","CIV",2019,"MSM",0.00639323330593608,41,-5.04610138634939
"149","CIV",2014,"PWID",0.00072457078742578,34,-7.22920626234911
"150","CIV",2019,"PWID",0.00119412829049103,42,-6.72914398198147
"151","CIV",2019,"PWID",0.00499957094247453,42,-5.2933910711251
"152","CIV",2019,"PWID",0.00450248001063384,42,-5.39861427383682
"153","CIV",2019,"PWID",9.13502479417399e-05,42,-9.30071820652802
"154","CMR",1997,"FSW",0.0191228345617967,43,-3.93756409032976
"155","CMR",2013,"FSW",0.00735613510078457,44,-4.90483728145649
"156","CMR",2013,"FSW",0.0191137795421833,44,-3.93804695267783
"157","CMR",2013,"FSW",0.0168823419486822,44,-4.06446058523413
"158","CMR",2013,"FSW",0.0318599362443843,44,-3.41402746740981
"159","CMR",2013,"FSW",0.0170292118293917,44,-4.05564919038738
"160","CMR",2013,"FSW",0.0141380825439075,44,-4.24464425547295
"161","CMR",2013,"FSW",0.0160865675489173,44,-4.11355330800571
"162","CMR",2013,"FSW",0.0101417283265512,44,-4.58090334291032
"163","CMR",2013,"FSW",0.0265346785839232,44,-3.60240969829928
"164","CMR",2013,"FSW",0.011691211757686,44,-4.43715775988346
"165","CMR",2013,"FSW",0.0234367621822561,44,-3.72973368487853
"166","CMR",2013,"FSW",0.0103265157905622,44,-4.56266013892368
"167","CMR",2013,"FSW",0.0194801804173227,44,-3.91868529934188
"168","CMR",2013,"FSW",0.0442212971890876,44,-3.07331989394511
"169","CMR",2013,"FSW",0.0104362509192969,44,-4.55197877790338
"170","CMR",2013,"FSW",0.0236534189997239,44,-3.72030995578894
"171","CMR",2013,"FSW",0.0196296593005121,44,-3.91088874687563
"172","CMR",2013,"FSW",0.00864650578730291,44,-4.74191589117292
"173","CMR",2013,"FSW",0.0223462660087838,44,-3.77849631397498
"174","CMR",2013,"FSW",0.00984401894784489,44,-4.61099842999773
"175","CMR",2013,"FSW",0.00619772286622575,44,-5.07735632555933
"176","CMR",2013,"FSW",0.0140857337868767,44,-4.24840690270368
"177","CMR",2015,"FSW",0.00518917869295461,46,-5.25597715307243
"178","CMR",2015,"FSW",0.0107531491127836,46,-4.52174524452787
"179","CMR",2015,"FSW",0.0241180017073879,46,-3.70038315524048
"180","CMR",2015,"FSW",0.00725137070986349,46,-4.91928697486453
"181","CMR",2015,"FSW",0.00664247348559478,46,-5.00760623907274
"182","CMR",2015,"FSW",0.0153861467467951,46,-4.1587819944807
"183","CMR",2015,"FSW",0.0313136274041948,46,-3.43188751548813
"184","CMR",2015,"FSW",0.0164619838945704,46,-4.09010257476658
"185","CMR",2015,"FSW",0.013733714302115,46,-4.27407267702404
"186","CMR",2015,"FSW",0.0155024875585494,46,-4.15113087265645
"187","CMR",2015,"FSW",0.00926019637948784,46,-4.67272668471969
"188","CMR",2015,"FSW",0.0202317596581947,46,-3.88006242424283
"189","CMR",2016,"FSW",0.00368437260796128,48,-5.5999638468512
"190","CMR",2016,"FSW",0.00368600029893285,48,-5.59952052829726
"191","CMR",2016,"FSW",0.00927115338828665,48,-4.67153308751471
"192","CMR",2016,"FSW",0.0213214900232489,48,-3.82648771709229
"193","CMR",2016,"FSW",0.0343954778622299,48,-3.33482925476888
"194","CMR",2016,"FSW",0.0265417726114385,48,-3.60213509731661
"195","CMR",2016,"FSW",0.0305572937163615,48,-3.45711797281237
"196","CMR",2016,"FSW",0.00513783710905021,48,-5.26597200280162
"197","CMR",2016,"FSW",0.00390773879972414,48,-5.54088099040241
"198","CMR",2016,"FSW",0.0118922719197996,48,-4.41990295767253
"199","CMR",2016,"FSW",0.00928950216138964,48,-4.66953739757359
"200","CMR",2018,"FSW",0.0115846613682738,50,-4.4464210653728
"201","CMR",2018,"FSW",0.00935339805768502,50,-4.66261815729917
"202","CMR",2018,"FSW",0.0353429882173278,50,-3.30667259040354
"203","CMR",2018,"FSW",0.0196477820033559,50,-3.90994745641562
"204","CMR",2018,"FSW",0.0110926638938027,50,-4.49031665334697
"205","CMR",2018,"FSW",0.0196136628739461,50,-3.91172030674621
"206","CMR",2018,"FSW",0.0539657872909296,50,-2.86392845696399
"207","CMR",2018,"FSW",0.0227460181282416,50,-3.7603564764851
"208","CMR",2018,"FSW",0.0272800755845876,50,-3.57393958961635
"209","CMR",2018,"FSW",0.031973093921496,50,-3.41036514826262
"210","CMR",2018,"FSW",0.0302284872907545,50,-3.46827572230444
"211","CMR",2018,"FSW",0.0459090548616441,50,-3.03409662595358
"212","CMR",2018,"FSW",0.00623866414870852,50,-5.07073099231883
"213","CMR",2013,"MSM",0.0054311519606316,45,-5.21015806580386
"214","CMR",2013,"MSM",0.0122266297228399,45,-4.39183695198755
"215","CMR",2013,"MSM",0.0110125081883008,45,-4.49764994942598
"216","CMR",2013,"MSM",0.0225353881863696,45,-3.76987520653009
"217","CMR",2013,"MSM",0.012056032951411,45,-4.40606078810956
"218","CMR",2013,"MSM",0.0115470504583769,45,-4.44971101085857
