iso3,year,age,sex,totpop,hivpop,artpop,infections
CAF,2022,33,female,26536.51953,1274.75509,982.03799,22.19128
CAF,2022,33,male,26666.83984,751.16488,396.65856,13.21832
CAF,2022,34,female,25233.70508,1268.18812,986.36016,20.49111
CAF,2022,34,male,25360.91992,748.30966,401.92078,12.38789
CAF,2022,35,female,24133.73438,1268.36835,997.53392,19.0181
CAF,2022,35,male,24241.79102,746.32043,410.73937,11.66601
CAF,2022,36,female,23247.08594,1273.88818,1013.46198,17.76772
CAF,2022,36,male,23324.54297,747.71332,421.61226,11.05522
CAF,2022,37,female,22488.20898,1285.88936,1034.73648,16.65706
CAF,2022,37,male,22528.4043,752.87931,434.88668,10.51243
CAF,2022,38,female,21711.91406,1293.89188,1052.48914,15.57469
CAF,2022,38,male,21712.50391,756.12209,446.98067,9.971
CAF,2022,39,female,20814.92578,1289.7263,1059.66175,14.45086
CAF,2022,39,male,20777.70117,752.50978,454.59988,9.38724
CAF,2022,40,female,19829.11914,1275.61136,1057.91763,13.31392
CAF,2022,40,male,19750.03906,744.04353,459.01184,8.77467
CAF,2022,41,female,18815.95508,1250.44939,1045.70034,12.21226
CAF,2022,41,male,18680.24414,730.7477,459.84848,8.15838
CAF,2022,42,female,17861.08984,1221.6624,1029.36356,11.19918
CAF,2022,42,male,17654.52539,715.07339,458.30273,7.57688
CAF,2022,43,female,17028.71484,1191.95654,1011.01476,10.31013
CAF,2022,43,male,16745.95703,698.95607,455.32569,7.06063
CAF,2022,44,female,16331.52148,1162.35052,991.70139,9.54398
CAF,2022,44,male,15972.47168,682.46448,450.92525,6.61491
CAF,2022,45,female,15775.9082,1129.48395,969.43319,8.89759
CAF,2022,45,male,15345.89648,662.18681,444.93475,6.24326
CAF,2022,46,female,15350.5,1094.5977,945.39014,8.3539
CAF,2022,46,male,14854.41211,641.15411,437.68636,5.93621
CAF,2022,47,female,15017.33887,1054.74957,915.91704,7.88439
CAF,2022,47,male,14455.4043,618.01717,427.68589,5.67394
CAF,2022,48,female,14740.37695,1008.97089,880.03778,7.46366
CAF,2022,48,male,14110.64941,592.10586,414.32345,5.43924
CAF,2022,49,female,14477.42969,955.70401,836.3136,7.06648
CAF,2022,49,male,13779.73926,562.60304,397.04902,5.21517
CIV,2022,15,female,349910.4375,1203.67624,728.78115,83.83565
CIV,2022,15,male,356916.5625,1139.85734,512.90634,0.24168
CIV,2022,16,female,342525.3125,1466.66671,954.55844,117.46488
