"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"429","NGA",2019,"FSW",0.0258385147245036,165,-3.62971088831013
"430","NGA",2019,"FSW",0.0374059618947345,165,-3.24780166265062
"431","NGA",2019,"FSW",0.016180954999124,165,-4.10760704946405
"432","NGA",2019,"FSW",0.00788770482563676,165,-4.83453110574359
"433","NGA",2019,"FSW",0.00332878479880949,165,-5.70181362934474
"434","NGA",2019,"FSW",0.185977066629571,165,-1.47636517085848
"435","NGA",2019,"FSW",0.00348908240998641,165,-5.65462131365842
"436","NGA",2019,"FSW",0.0122301365063226,165,-4.39154662769543
"437","NGA",2019,"FSW",0.00428325380073192,165,-5.44874987119328
"438","NGA",2019,"FSW",0.0150457936920746,165,-4.18149668580152
"439","NGA",2019,"FSW",0.00558282294509319,165,-5.18246226123
"440","NGA",2019,"FSW",0.00782399658647718,165,-4.84270501789948
"441","NGA",2019,"FSW",0.0064965421040597,165,-5.02996749114804
"442","NGA",2019,"FSW",0.0246805189986209,165,-3.67675086221314
"443","NGA",2013,"MSM",9.81558022081392e-05,160,-9.22885636264701
"444","NGA",2013,"MSM",0.00119512369835575,160,-6.72830974725918
"445","NGA",2013,"MSM",0.00243862332400962,160,-6.01388000876689
"446","NGA",2013,"MSM",0.000208544397055806,160,-8.47515003772805
"447","NGA",2013,"MSM",0.000932898762348754,160,-6.97628053648588
"448","NGA",2013,"MSM",0.000336522984294532,160,-7.9965075275956
"449","NGA",2013,"MSM",0.0274204940478726,160,-3.56866113457889
"450","NGA",2013,"MSM",0.000906463783726385,160,-7.0050526054605
"451","NGA",2013,"MSM",0.0101342283637958,160,-4.58165070851222
"452","NGA",2013,"MSM",0.000732851385804209,160,-7.21783450446076
"453","NGA",2013,"MSM",0.00190703066139646,160,-6.26029902279253
"454","NGA",2015,"MSM",0.00140529147853131,163,-6.56610425985681
"455","NGA",2015,"MSM",0.0522472398879996,163,-2.89810660233119
"456","NGA",2015,"MSM",0.000686381160314292,163,-7.28339084043406
"457","NGA",2015,"MSM",0.00285755763585105,163,-5.8549263442238
"458","NGA",2015,"MSM",0.00129588773849155,163,-6.64726257821109
"459","NGA",2015,"MSM",0.00409232350321516,163,-5.49454165656167
"460","NGA",2015,"MSM",0.00455493629110736,163,-5.38697839333006
"461","NGA",2015,"MSM",0.00125574576140697,163,-6.67876911581684
"462","NGA",2015,"MSM",0.00261154874546778,163,-5.94519687977747
"463","NGA",2015,"MSM",0.0580734559757895,163,-2.78621860121763
"464","NGA",2015,"MSM",0.00200134749979394,163,-6.21193122252101
"465","NGA",2019,"MSM",0.00202323538825091,166,-6.20103208664041
"466","NGA",2019,"MSM",0.0248539682090609,166,-3.66956980970291
"467","NGA",2019,"MSM",0.00244473604576049,166,-6.01137038933484
"468","NGA",2019,"MSM",0.00864483209261633,166,-4.74211116710928
"469","NGA",2019,"MSM",0.00338865031181694,166,-5.68392917018399
